,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
51,52,6.4,3.2,4.5,1.5,Iris-versicolor
39,40,5.1,3.4,1.5,0.2,Iris-setosa
128,129,6.4,2.8,5.6,2.1,Iris-virginica
86,87,6.7,3.1,4.7,1.5,Iris-versicolor
105,106,7.6,3.0,6.6,2.1,Iris-virginica
75,76,6.6,3.0,4.4,1.4,Iris-versicolor
115,116,6.4,3.2,5.3,2.3,Iris-virginica
43,44,5.0,3.5,1.6,0.6,Iris-setosa
124,125,6.7,3.3,5.7,2.1,Iris-virginica
112,113,6.8,3.0,5.5,2.1,Iris-virginica
36,37,5.5,3.5,1.3,0.2,Iris-setosa
119,120,6.0,2.2,5.0,1.5,Iris-virginica
43,44,5.0,3.5,1.6,0.6,Iris-setosa
118,119,7.7,2.6,6.9,2.3,Iris-virginica
136,137,6.3,3.4,5.6,2.4,Iris-virginica
30,31,4.8,3.1,1.6,0.2,Iris-setosa
55,56,5.7,2.8,4.5,1.3,Iris-versicolor
22,23,4.6,3.6,1.0,0.2,Iris-setosa
126,127,6.2,2.8,4.8,1.8,Iris-virginica
18,19,5.7,3.8,1.7,0.3,Iris-setosa
53,54,5.5,2.3,4.0,1.3,Iris-versicolor
95,96,5.7,3.0,4.2,1.2,Iris-versicolor
103,104,6.3,2.9,5.6,1.8,Iris-virginica
126,127,6.2,2.8,4.8,1.8,Iris-virginica
74,75,6.4,2.9,4.3,1.3,Iris-versicolor
44,45,5.1,3.8,1.9,0.4,Iris-setosa
50,51,7.0,3.2,4.7,1.4,Iris-versicolor
34,35,4.9,3.1,1.5,0.1,Iris-setosa
130,131,7.4,2.8,6.1,1.9,Iris-virginica
46,47,5.1,3.8,1.6,0.2,Iris-setosa
132,133,6.4,2.8,5.6,2.2,Iris-virginica
71,72,6.1,2.8,4.0,1.3,Iris-versicolor
89,90,5.5,2.5,4.0,1.3,Iris-versicolor
53,54,5.5,2.3,4.0,1.3,Iris-versicolor
31,32,5.4,3.4,1.5,0.4,Iris-setosa
132,133,6.4,2.8,5.6,2.2,Iris-virginica
134,135,6.1,2.6,5.6,1.4,Iris-virginica
57,58,4.9,2.4,3.3,1.0,Iris-versicolor
85,86,6.0,3.4,4.5,1.6,Iris-versicolor
131,132,7.9,3.8,6.4,2.0,Iris-virginica
59,60,5.2,2.7,3.9,1.4,Iris-versicolor
140,141,6.7,3.1,5.6,2.4,Iris-virginica
103,104,6.3,2.9,5.6,1.8,Iris-virginica
94,95,5.6,2.7,4.2,1.3,Iris-versicolor
69,70,5.6,2.5,3.9,1.1,Iris-versicolor
80,81,5.5,2.4,3.8,1.1,Iris-versicolor
32,33,5.2,4.1,1.5,0.1,Iris-setosa
74,75,6.4,2.9,4.3,1.3,Iris-versicolor
149,150,5.9,3.0,5.1,1.8,Iris-virginica
118,119,7.7,2.6,6.9,2.3,Iris-virginica
65,66,6.7,3.1,4.4,1.4,Iris-versicolor
130,131,7.4,2.8,6.1,1.9,Iris-virginica
100,101,6.3,3.3,6.0,2.5,Iris-virginica
28,29,5.2,3.4,1.4,0.2,Iris-setosa
53,54,5.5,2.3,4.0,1.3,Iris-versicolor
74,75,6.4,2.9,4.3,1.3,Iris-versicolor
17,18,5.1,3.5,1.4,0.3,Iris-setosa
143,144,6.8,3.2,5.9,2.3,Iris-virginica
54,55,6.5,2.8,4.6,1.5,Iris-versicolor
127,128,6.1,3.0,4.9,1.8,Iris-virginica
145,146,6.7,3.0,5.2,2.3,Iris-virginica
19,20,5.1,3.8,1.5,0.3,Iris-setosa
73,74,6.1,2.8,4.7,1.2,Iris-versicolor
33,34,5.5,4.2,1.4,0.2,Iris-setosa
137,138,6.4,3.1,5.5,1.8,Iris-virginica
104,105,6.5,3.0,5.8,2.2,Iris-virginica
102,103,7.1,3.0,5.9,2.1,Iris-virginica
62,63,6.0,2.2,4.0,1.0,Iris-versicolor
49,50,5.0,3.3,1.4,0.2,Iris-setosa
94,95,5.6,2.7,4.2,1.3,Iris-versicolor
37,38,4.9,3.1,1.5,0.1,Iris-setosa
25,26,5.0,3.0,1.6,0.2,Iris-setosa
63,64,6.1,2.9,4.7,1.4,Iris-versicolor
137,138,6.4,3.1,5.5,1.8,Iris-virginica
124,125,6.7,3.3,5.7,2.1,Iris-virginica
127,128,6.1,3.0,4.9,1.8,Iris-virginica
25,26,5.0,3.0,1.6,0.2,Iris-setosa
75,76,6.6,3.0,4.4,1.4,Iris-versicolor
119,120,6.0,2.2,5.0,1.5,Iris-virginica
109,110,7.2,3.6,6.1,2.5,Iris-virginica
23,24,5.1,3.3,1.7,0.5,Iris-setosa
34,35,4.9,3.1,1.5,0.1,Iris-setosa
134,135,6.1,2.6,5.6,1.4,Iris-virginica
115,116,6.4,3.2,5.3,2.3,Iris-virginica
74,75,6.4,2.9,4.3,1.3,Iris-versicolor
125,126,7.2,3.2,6.0,1.8,Iris-virginica
41,42,4.5,2.3,1.3,0.3,Iris-setosa
38,39,4.4,3.0,1.3,0.2,Iris-setosa
31,32,5.4,3.4,1.5,0.4,Iris-setosa
40,41,5.0,3.5,1.3,0.3,Iris-setosa
41,42,4.5,2.3,1.3,0.3,Iris-setosa
87,88,6.3,2.3,4.4,1.3,Iris-versicolor
127,128,6.1,3.0,4.9,1.8,Iris-virginica
104,105,6.5,3.0,5.8,2.2,Iris-virginica
131,132,7.9,3.8,6.4,2.0,Iris-virginica
68,69,6.2,2.2,4.5,1.5,Iris-versicolor
101,102,5.8,2.7,5.1,1.9,Iris-virginica
124,125,6.7,3.3,5.7,2.1,Iris-virginica
69,70,5.6,2.5,3.9,1.1,Iris-versicolor
70,71,5.9,3.2,4.8,1.8,Iris-versicolor
5,6,5.4,3.9,1.7,0.4,Iris-setosa
110,111,6.5,3.2,5.1,2.0,Iris-virginica
12,13,4.8,3.0,1.4,0.1,Iris-setosa
67,68,5.8,2.7,4.1,1.0,Iris-versicolor
43,44,5.0,3.5,1.6,0.6,Iris-setosa
71,72,6.1,2.8,4.0,1.3,Iris-versicolor
29,30,4.7,3.2,1.6,0.2,Iris-setosa
11,12,4.8,3.4,1.6,0.2,Iris-setosa
22,23,4.6,3.6,1.0,0.2,Iris-setosa
134,135,6.1,2.6,5.6,1.4,Iris-virginica
29,30,4.7,3.2,1.6,0.2,Iris-setosa
140,141,6.7,3.1,5.6,2.4,Iris-virginica
40,41,5.0,3.5,1.3,0.3,Iris-setosa
132,133,6.4,2.8,5.6,2.2,Iris-virginica
61,62,5.9,3.0,4.2,1.5,Iris-versicolor
143,144,6.8,3.2,5.9,2.3,Iris-virginica
108,109,6.7,2.5,5.8,1.8,Iris-virginica
142,143,5.8,2.7,5.1,1.9,Iris-virginica
84,85,5.4,3.0,4.5,1.5,Iris-versicolor
121,122,5.6,2.8,4.9,2.0,Iris-virginica
63,64,6.1,2.9,4.7,1.4,Iris-versicolor
30,31,4.8,3.1,1.6,0.2,Iris-setosa
82,83,5.8,2.7,3.9,1.2,Iris-versicolor
129,130,7.2,3.0,5.8,1.6,Iris-virginica
71,72,6.1,2.8,4.0,1.3,Iris-versicolor
88,89,5.6,3.0,4.1,1.3,Iris-versicolor
117,118,7.7,3.8,6.7,2.2,Iris-virginica
122,123,7.7,2.8,6.7,2.0,Iris-virginica
104,105,6.5,3.0,5.8,2.2,Iris-virginica
14,15,5.8,4.0,1.2,0.2,Iris-setosa
60,61,5.0,2.0,3.5,1.0,Iris-versicolor
32,33,5.2,4.1,1.5,0.1,Iris-setosa
22,23,4.6,3.6,1.0,0.2,Iris-setosa
27,28,5.2,3.5,1.5,0.2,Iris-setosa
46,47,5.1,3.8,1.6,0.2,Iris-setosa
127,128,6.1,3.0,4.9,1.8,Iris-virginica
15,16,5.7,4.4,1.5,0.4,Iris-setosa
43,44,5.0,3.5,1.6,0.6,Iris-setosa
59,60,5.2,2.7,3.9,1.4,Iris-versicolor
25,26,5.0,3.0,1.6,0.2,Iris-setosa
129,130,7.2,3.0,5.8,1.6,Iris-virginica
34,35,4.9,3.1,1.5,0.1,Iris-setosa
55,56,5.7,2.8,4.5,1.3,Iris-versicolor
142,143,5.8,2.7,5.1,1.9,Iris-virginica
142,143,5.8,2.7,5.1,1.9,Iris-virginica
48,49,5.3,3.7,1.5,0.2,Iris-setosa
101,102,5.8,2.7,5.1,1.9,Iris-virginica
98,99,5.1,2.5,3.0,1.1,Iris-versicolor
68,69,6.2,2.2,4.5,1.5,Iris-versicolor
21,22,5.1,3.7,1.5,0.4,Iris-setosa
47,48,4.6,3.2,1.4,0.2,Iris-setosa
73,74,6.1,2.8,4.7,1.2,Iris-versicolor
133,134,6.3,2.8,5.1,1.5,Iris-virginica
49,50,5.0,3.3,1.4,0.2,Iris-setosa
29,30,4.7,3.2,1.6,0.2,Iris-setosa
125,126,7.2,3.2,6.0,1.8,Iris-virginica
142,143,5.8,2.7,5.1,1.9,Iris-virginica
134,135,6.1,2.6,5.6,1.4,Iris-virginica
14,15,5.8,4.0,1.2,0.2,Iris-setosa
84,85,5.4,3.0,4.5,1.5,Iris-versicolor
103,104,6.3,2.9,5.6,1.8,Iris-virginica
60,61,5.0,2.0,3.5,1.0,Iris-versicolor
83,84,6.0,2.7,5.1,1.6,Iris-versicolor
143,144,6.8,3.2,5.9,2.3,Iris-virginica
143,144,6.8,3.2,5.9,2.3,Iris-virginica
86,87,6.7,3.1,4.7,1.5,Iris-versicolor
101,102,5.8,2.7,5.1,1.9,Iris-virginica
106,107,4.9,2.5,4.5,1.7,Iris-virginica
76,77,6.8,2.8,4.8,1.4,Iris-versicolor
22,23,4.6,3.6,1.0,0.2,Iris-setosa
39,40,5.1,3.4,1.5,0.2,Iris-setosa
40,41,5.0,3.5,1.3,0.3,Iris-setosa
115,116,6.4,3.2,5.3,2.3,Iris-virginica
70,71,5.9,3.2,4.8,1.8,Iris-versicolor
133,134,6.3,2.8,5.1,1.5,Iris-virginica
61,62,5.9,3.0,4.2,1.5,Iris-versicolor
53,54,5.5,2.3,4.0,1.3,Iris-versicolor
104,105,6.5,3.0,5.8,2.2,Iris-virginica
50,51,7.0,3.2,4.7,1.4,Iris-versicolor
18,19,5.7,3.8,1.7,0.3,Iris-setosa
73,74,6.1,2.8,4.7,1.2,Iris-versicolor
28,29,5.2,3.4,1.4,0.2,Iris-setosa
101,102,5.8,2.7,5.1,1.9,Iris-virginica
55,56,5.7,2.8,4.5,1.3,Iris-versicolor
142,143,5.8,2.7,5.1,1.9,Iris-virginica
113,114,5.7,2.5,5.0,2.0,Iris-virginica
17,18,5.1,3.5,1.4,0.3,Iris-setosa
10,11,5.4,3.7,1.5,0.2,Iris-setosa
5,6,5.4,3.9,1.7,0.4,Iris-setosa
97,98,6.2,2.9,4.3,1.3,Iris-versicolor
117,118,7.7,3.8,6.7,2.2,Iris-virginica
18,19,5.7,3.8,1.7,0.3,Iris-setosa
92,93,5.8,2.6,4.0,1.2,Iris-versicolor
53,54,5.5,2.3,4.0,1.3,Iris-versicolor
29,30,4.7,3.2,1.6,0.2,Iris-setosa
136,137,6.3,3.4,5.6,2.4,Iris-virginica
36,37,5.5,3.5,1.3,0.2,Iris-setosa
83,84,6.0,2.7,5.1,1.6,Iris-versicolor
31,32,5.4,3.4,1.5,0.4,Iris-setosa
125,126,7.2,3.2,6.0,1.8,Iris-virginica
148,149,6.2,3.4,5.4,2.3,Iris-virginica
126,127,6.2,2.8,4.8,1.8,Iris-virginica
82,83,5.8,2.7,3.9,1.2,Iris-versicolor
108,109,6.7,2.5,5.8,1.8,Iris-virginica
18,19,5.7,3.8,1.7,0.3,Iris-setosa
139,140,6.9,3.1,5.4,2.1,Iris-virginica
107,108,7.3,2.9,6.3,1.8,Iris-virginica
56,57,6.3,3.3,4.7,1.6,Iris-versicolor
29,30,4.7,3.2,1.6,0.2,Iris-setosa
35,36,5.0,3.2,1.2,0.2,Iris-setosa
12,13,4.8,3.0,1.4,0.1,Iris-setosa
69,70,5.6,2.5,3.9,1.1,Iris-versicolor
36,37,5.5,3.5,1.3,0.2,Iris-setosa
46,47,5.1,3.8,1.6,0.2,Iris-setosa
3,4,4.6,3.1,1.5,0.2,Iris-setosa
96,97,5.7,2.9,4.2,1.3,Iris-versicolor
58,59,6.6,2.9,4.6,1.3,Iris-versicolor
13,14,4.3,3.0,1.1,0.1,Iris-setosa
90,91,5.5,2.6,4.4,1.2,Iris-versicolor
64,65,5.6,2.9,3.6,1.3,Iris-versicolor
80,81,5.5,2.4,3.8,1.1,Iris-versicolor
145,146,6.7,3.0,5.2,2.3,Iris-virginica
93,94,5.0,2.3,3.3,1.0,Iris-versicolor
16,17,5.4,3.9,1.3,0.4,Iris-setosa
137,138,6.4,3.1,5.5,1.8,Iris-virginica
130,131,7.4,2.8,6.1,1.9,Iris-virginica
107,108,7.3,2.9,6.3,1.8,Iris-virginica
4,5,5.0,3.6,1.4,0.2,Iris-setosa
26,27,5.0,3.4,1.6,0.4,Iris-setosa
85,86,6.0,3.4,4.5,1.6,Iris-versicolor
82,83,5.8,2.7,3.9,1.2,Iris-versicolor
134,135,6.1,2.6,5.6,1.4,Iris-virginica
60,61,5.0,2.0,3.5,1.0,Iris-versicolor
138,139,6.0,3.0,4.8,1.8,Iris-virginica
141,142,6.9,3.1,5.1,2.3,Iris-virginica
83,84,6.0,2.7,5.1,1.6,Iris-versicolor
101,102,5.8,2.7,5.1,1.9,Iris-virginica
136,137,6.3,3.4,5.6,2.4,Iris-virginica
132,133,6.4,2.8,5.6,2.2,Iris-virginica
45,46,4.8,3.0,1.4,0.3,Iris-setosa
17,18,5.1,3.5,1.4,0.3,Iris-setosa
34,35,4.9,3.1,1.5,0.1,Iris-setosa
107,108,7.3,2.9,6.3,1.8,Iris-virginica
54,55,6.5,2.8,4.6,1.5,Iris-versicolor
71,72,6.1,2.8,4.0,1.3,Iris-versicolor
75,76,6.6,3.0,4.4,1.4,Iris-versicolor
50,51,7.0,3.2,4.7,1.4,Iris-versicolor
128,129,6.4,2.8,5.6,2.1,Iris-virginica
134,135,6.1,2.6,5.6,1.4,Iris-virginica
7,8,5.0,3.4,1.5,0.2,Iris-setosa
129,130,7.2,3.0,5.8,1.6,Iris-virginica
14,15,5.8,4.0,1.2,0.2,Iris-setosa
54,55,6.5,2.8,4.6,1.5,Iris-versicolor
77,78,6.7,3.0,5.0,1.7,Iris-versicolor
137,138,6.4,3.1,5.5,1.8,Iris-virginica
61,62,5.9,3.0,4.2,1.5,Iris-versicolor
144,145,6.7,3.3,5.7,2.5,Iris-virginica
4,5,5.0,3.6,1.4,0.2,Iris-setosa
1,2,4.9,3.0,1.4,0.2,Iris-setosa
135,136,7.7,3.0,6.1,2.3,Iris-virginica
50,51,7.0,3.2,4.7,1.4,Iris-versicolor
135,136,7.7,3.0,6.1,2.3,Iris-virginica
6,7,4.6,3.4,1.4,0.3,Iris-setosa
100,101,6.3,3.3,6.0,2.5,Iris-virginica
130,131,7.4,2.8,6.1,1.9,Iris-virginica
80,81,5.5,2.4,3.8,1.1,Iris-versicolor
145,146,6.7,3.0,5.2,2.3,Iris-virginica
60,61,5.0,2.0,3.5,1.0,Iris-versicolor
130,131,7.4,2.8,6.1,1.9,Iris-virginica
44,45,5.1,3.8,1.9,0.4,Iris-setosa
30,31,4.8,3.1,1.6,0.2,Iris-setosa
144,145,6.7,3.3,5.7,2.5,Iris-virginica
28,29,5.2,3.4,1.4,0.2,Iris-setosa
31,32,5.4,3.4,1.5,0.4,Iris-setosa
133,134,6.3,2.8,5.1,1.5,Iris-virginica
132,133,6.4,2.8,5.6,2.2,Iris-virginica
13,14,4.3,3.0,1.1,0.1,Iris-setosa
131,132,7.9,3.8,6.4,2.0,Iris-virginica
109,110,7.2,3.6,6.1,2.5,Iris-virginica
58,59,6.6,2.9,4.6,1.3,Iris-versicolor
127,128,6.1,3.0,4.9,1.8,Iris-virginica
17,18,5.1,3.5,1.4,0.3,Iris-setosa
29,30,4.7,3.2,1.6,0.2,Iris-setosa
103,104,6.3,2.9,5.6,1.8,Iris-virginica
38,39,4.4,3.0,1.3,0.2,Iris-setosa
135,136,7.7,3.0,6.1,2.3,Iris-virginica
18,19,5.7,3.8,1.7,0.3,Iris-setosa
48,49,5.3,3.7,1.5,0.2,Iris-setosa
87,88,6.3,2.3,4.4,1.3,Iris-versicolor
88,89,5.6,3.0,4.1,1.3,Iris-versicolor
63,64,6.1,2.9,4.7,1.4,Iris-versicolor
124,125,6.7,3.3,5.7,2.1,Iris-virginica
121,122,5.6,2.8,4.9,2.0,Iris-virginica
66,67,5.6,3.0,4.5,1.5,Iris-versicolor
73,74,6.1,2.8,4.7,1.2,Iris-versicolor
42,43,4.4,3.2,1.3,0.2,Iris-setosa
36,37,5.5,3.5,1.3,0.2,Iris-setosa
63,64,6.1,2.9,4.7,1.4,Iris-versicolor
67,68,5.8,2.7,4.1,1.0,Iris-versicolor
144,145,6.7,3.3,5.7,2.5,Iris-virginica
77,78,6.7,3.0,5.0,1.7,Iris-versicolor
116,117,6.5,3.0,5.5,1.8,Iris-virginica
59,60,5.2,2.7,3.9,1.4,Iris-versicolor
6,7,4.6,3.4,1.4,0.3,Iris-setosa
83,84,6.0,2.7,5.1,1.6,Iris-versicolor
109,110,7.2,3.6,6.1,2.5,Iris-virginica
129,130,7.2,3.0,5.8,1.6,Iris-virginica
91,92,6.1,3.0,4.6,1.4,Iris-versicolor
25,26,5.0,3.0,1.6,0.2,Iris-setosa
64,65,5.6,2.9,3.6,1.3,Iris-versicolor
118,119,7.7,2.6,6.9,2.3,Iris-virginica
14,15,5.8,4.0,1.2,0.2,Iris-setosa
31,32,5.4,3.4,1.5,0.4,Iris-setosa
74,75,6.4,2.9,4.3,1.3,Iris-versicolor
66,67,5.6,3.0,4.5,1.5,Iris-versicolor
127,128,6.1,3.0,4.9,1.8,Iris-virginica
146,147,6.3,2.5,5.0,1.9,Iris-virginica
21,22,5.1,3.7,1.5,0.4,Iris-setosa
56,57,6.3,3.3,4.7,1.6,Iris-versicolor
149,150,5.9,3.0,5.1,1.8,Iris-virginica
95,96,5.7,3.0,4.2,1.2,Iris-versicolor
25,26,5.0,3.0,1.6,0.2,Iris-setosa
97,98,6.2,2.9,4.3,1.3,Iris-versicolor
118,119,7.7,2.6,6.9,2.3,Iris-virginica
76,77,6.8,2.8,4.8,1.4,Iris-versicolor
60,61,5.0,2.0,3.5,1.0,Iris-versicolor
49,50,5.0,3.3,1.4,0.2,Iris-setosa
58,59,6.6,2.9,4.6,1.3,Iris-versicolor
20,21,5.4,3.4,1.7,0.2,Iris-setosa
54,55,6.5,2.8,4.6,1.5,Iris-versicolor
27,28,5.2,3.5,1.5,0.2,Iris-setosa
83,84,6.0,2.7,5.1,1.6,Iris-versicolor
73,74,6.1,2.8,4.7,1.2,Iris-versicolor
104,105,6.5,3.0,5.8,2.2,Iris-virginica
111,112,6.4,2.7,5.3,1.9,Iris-virginica
80,81,5.5,2.4,3.8,1.1,Iris-versicolor
79,80,5.7,2.6,3.5,1.0,Iris-versicolor
43,44,5.0,3.5,1.6,0.6,Iris-setosa
45,46,4.8,3.0,1.4,0.3,Iris-setosa
85,86,6.0,3.4,4.5,1.6,Iris-versicolor
16,17,5.4,3.9,1.3,0.4,Iris-setosa
8,9,4.4,2.9,1.4,0.2,Iris-setosa
19,20,5.1,3.8,1.5,0.3,Iris-setosa
90,91,5.5,2.6,4.4,1.2,Iris-versicolor
84,85,5.4,3.0,4.5,1.5,Iris-versicolor
95,96,5.7,3.0,4.2,1.2,Iris-versicolor
48,49,5.3,3.7,1.5,0.2,Iris-setosa
148,149,6.2,3.4,5.4,2.3,Iris-virginica
23,24,5.1,3.3,1.7,0.5,Iris-setosa
144,145,6.7,3.3,5.7,2.5,Iris-virginica
91,92,6.1,3.0,4.6,1.4,Iris-versicolor
132,133,6.4,2.8,5.6,2.2,Iris-virginica
28,29,5.2,3.4,1.4,0.2,Iris-setosa
88,89,5.6,3.0,4.1,1.3,Iris-versicolor
77,78,6.7,3.0,5.0,1.7,Iris-versicolor
90,91,5.5,2.6,4.4,1.2,Iris-versicolor
101,102,5.8,2.7,5.1,1.9,Iris-virginica
91,92,6.1,3.0,4.6,1.4,Iris-versicolor
11,12,4.8,3.4,1.6,0.2,Iris-setosa
128,129,6.4,2.8,5.6,2.1,Iris-virginica
52,53,6.9,3.1,4.9,1.5,Iris-versicolor
32,33,5.2,4.1,1.5,0.1,Iris-setosa
130,131,7.4,2.8,6.1,1.9,Iris-virginica
134,135,6.1,2.6,5.6,1.4,Iris-virginica
84,85,5.4,3.0,4.5,1.5,Iris-versicolor
112,113,6.8,3.0,5.5,2.1,Iris-virginica
44,45,5.1,3.8,1.9,0.4,Iris-setosa
98,99,5.1,2.5,3.0,1.1,Iris-versicolor
11,12,4.8,3.4,1.6,0.2,Iris-setosa
40,41,5.0,3.5,1.3,0.3,Iris-setosa
85,86,6.0,3.4,4.5,1.6,Iris-versicolor
36,37,5.5,3.5,1.3,0.2,Iris-setosa
105,106,7.6,3.0,6.6,2.1,Iris-virginica
11,12,4.8,3.4,1.6,0.2,Iris-setosa
124,125,6.7,3.3,5.7,2.1,Iris-virginica
121,122,5.6,2.8,4.9,2.0,Iris-virginica
91,92,6.1,3.0,4.6,1.4,Iris-versicolor
108,109,6.7,2.5,5.8,1.8,Iris-virginica
27,28,5.2,3.5,1.5,0.2,Iris-setosa
79,80,5.7,2.6,3.5,1.0,Iris-versicolor
79,80,5.7,2.6,3.5,1.0,Iris-versicolor
40,41,5.0,3.5,1.3,0.3,Iris-setosa
137,138,6.4,3.1,5.5,1.8,Iris-virginica
116,117,6.5,3.0,5.5,1.8,Iris-virginica
121,122,5.6,2.8,4.9,2.0,Iris-virginica
77,78,6.7,3.0,5.0,1.7,Iris-versicolor
27,28,5.2,3.5,1.5,0.2,Iris-setosa
11,12,4.8,3.4,1.6,0.2,Iris-setosa
82,83,5.8,2.7,3.9,1.2,Iris-versicolor
85,86,6.0,3.4,4.5,1.6,Iris-versicolor
20,21,5.4,3.4,1.7,0.2,Iris-setosa
61,62,5.9,3.0,4.2,1.5,Iris-versicolor
67,68,5.8,2.7,4.1,1.0,Iris-versicolor
22,23,4.6,3.6,1.0,0.2,Iris-setosa
96,97,5.7,2.9,4.2,1.3,Iris-versicolor
58,59,6.6,2.9,4.6,1.3,Iris-versicolor
41,42,4.5,2.3,1.3,0.3,Iris-setosa
46,47,5.1,3.8,1.6,0.2,Iris-setosa
57,58,4.9,2.4,3.3,1.0,Iris-versicolor
138,139,6.0,3.0,4.8,1.8,Iris-virginica
9,10,4.9,3.1,1.5,0.1,Iris-setosa
55,56,5.7,2.8,4.5,1.3,Iris-versicolor
8,9,4.4,2.9,1.4,0.2,Iris-setosa
95,96,5.7,3.0,4.2,1.2,Iris-versicolor
47,48,4.6,3.2,1.4,0.2,Iris-setosa
11,12,4.8,3.4,1.6,0.2,Iris-setosa
99,100,5.7,2.8,4.1,1.3,Iris-versicolor
70,71,5.9,3.2,4.8,1.8,Iris-versicolor
79,80,5.7,2.6,3.5,1.0,Iris-versicolor
123,124,6.3,2.7,4.9,1.8,Iris-virginica
103,104,6.3,2.9,5.6,1.8,Iris-virginica
61,62,5.9,3.0,4.2,1.5,Iris-versicolor
126,127,6.2,2.8,4.8,1.8,Iris-virginica
106,107,4.9,2.5,4.5,1.7,Iris-virginica
67,68,5.8,2.7,4.1,1.0,Iris-versicolor
5,6,5.4,3.9,1.7,0.4,Iris-setosa
47,48,4.6,3.2,1.4,0.2,Iris-setosa
114,115,5.8,2.8,5.1,2.4,Iris-virginica
131,132,7.9,3.8,6.4,2.0,Iris-virginica
46,47,5.1,3.8,1.6,0.2,Iris-setosa
11,12,4.8,3.4,1.6,0.2,Iris-setosa
46,47,5.1,3.8,1.6,0.2,Iris-setosa
91,92,6.1,3.0,4.6,1.4,Iris-versicolor
79,80,5.7,2.6,3.5,1.0,Iris-versicolor
145,146,6.7,3.0,5.2,2.3,Iris-virginica
115,116,6.4,3.2,5.3,2.3,Iris-virginica
58,59,6.6,2.9,4.6,1.3,Iris-versicolor
63,64,6.1,2.9,4.7,1.4,Iris-versicolor
105,106,7.6,3.0,6.6,2.1,Iris-virginica
41,42,4.5,2.3,1.3,0.3,Iris-setosa
46,47,5.1,3.8,1.6,0.2,Iris-setosa
19,20,5.1,3.8,1.5,0.3,Iris-setosa
13,14,4.3,3.0,1.1,0.1,Iris-setosa
72,73,6.3,2.5,4.9,1.5,Iris-versicolor
20,21,5.4,3.4,1.7,0.2,Iris-setosa
123,124,6.3,2.7,4.9,1.8,Iris-virginica
47,48,4.6,3.2,1.4,0.2,Iris-setosa
48,49,5.3,3.7,1.5,0.2,Iris-setosa
65,66,6.7,3.1,4.4,1.4,Iris-versicolor
17,18,5.1,3.5,1.4,0.3,Iris-setosa
31,32,5.4,3.4,1.5,0.4,Iris-setosa
87,88,6.3,2.3,4.4,1.3,Iris-versicolor
121,122,5.6,2.8,4.9,2.0,Iris-virginica
140,141,6.7,3.1,5.6,2.4,Iris-virginica
56,57,6.3,3.3,4.7,1.6,Iris-versicolor
48,49,5.3,3.7,1.5,0.2,Iris-setosa
116,117,6.5,3.0,5.5,1.8,Iris-virginica
80,81,5.5,2.4,3.8,1.1,Iris-versicolor
117,118,7.7,3.8,6.7,2.2,Iris-virginica
52,53,6.9,3.1,4.9,1.5,Iris-versicolor
110,111,6.5,3.2,5.1,2.0,Iris-virginica
71,72,6.1,2.8,4.0,1.3,Iris-versicolor
79,80,5.7,2.6,3.5,1.0,Iris-versicolor
145,146,6.7,3.0,5.2,2.3,Iris-virginica
51,52,6.4,3.2,4.5,1.5,Iris-versicolor
43,44,5.0,3.5,1.6,0.6,Iris-setosa
63,64,6.1,2.9,4.7,1.4,Iris-versicolor
106,107,4.9,2.5,4.5,1.7,Iris-virginica
45,46,4.8,3.0,1.4,0.3,Iris-setosa
91,92,6.1,3.0,4.6,1.4,Iris-versicolor
24,25,4.8,3.4,1.9,0.2,Iris-setosa
17,18,5.1,3.5,1.4,0.3,Iris-setosa
98,99,5.1,2.5,3.0,1.1,Iris-versicolor
14,15,5.8,4.0,1.2,0.2,Iris-setosa
118,119,7.7,2.6,6.9,2.3,Iris-virginica
33,34,5.5,4.2,1.4,0.2,Iris-setosa
62,63,6.0,2.2,4.0,1.0,Iris-versicolor
96,97,5.7,2.9,4.2,1.3,Iris-versicolor
23,24,5.1,3.3,1.7,0.5,Iris-setosa
127,128,6.1,3.0,4.9,1.8,Iris-virginica
31,32,5.4,3.4,1.5,0.4,Iris-setosa
13,14,4.3,3.0,1.1,0.1,Iris-setosa
43,44,5.0,3.5,1.6,0.6,Iris-setosa
75,76,6.6,3.0,4.4,1.4,Iris-versicolor
49,50,5.0,3.3,1.4,0.2,Iris-setosa
12,13,4.8,3.0,1.4,0.1,Iris-setosa
83,84,6.0,2.7,5.1,1.6,Iris-versicolor
29,30,4.7,3.2,1.6,0.2,Iris-setosa
131,132,7.9,3.8,6.4,2.0,Iris-virginica
42,43,4.4,3.2,1.3,0.2,Iris-setosa
82,83,5.8,2.7,3.9,1.2,Iris-versicolor
138,139,6.0,3.0,4.8,1.8,Iris-virginica
35,36,5.0,3.2,1.2,0.2,Iris-setosa
6,7,4.6,3.4,1.4,0.3,Iris-setosa
119,120,6.0,2.2,5.0,1.5,Iris-virginica
94,95,5.6,2.7,4.2,1.3,Iris-versicolor
26,27,5.0,3.4,1.6,0.4,Iris-setosa
54,55,6.5,2.8,4.6,1.5,Iris-versicolor
5,6,5.4,3.9,1.7,0.4,Iris-setosa
110,111,6.5,3.2,5.1,2.0,Iris-virginica
9,10,4.9,3.1,1.5,0.1,Iris-setosa
49,50,5.0,3.3,1.4,0.2,Iris-setosa
